N,PMNR,Boys,newPAO,oldPAO,newPMNR,
10,262,243,76,161,85,
20,666,430,233,323,338,
30,1824,792,511,621,908,
40,4414,1356,1010,1206,1702,
50,11494,2536,1851,2161,3204,
60,25311,3918,3152,3543,5133,
70,49958,6324,5393,6027,8762,
80,90976,9847,7855,8806,13823,
90,141379,15113,12081,12492,18288,
100,214598,21134,16989,18387,27146,
110,333336,30234,25295,27486,39082,
120,443683,45463,47805,40370,53785,
130,568998,69245,56343,60128,75501,
140,757297,97282,99972,103140,113049,
150,1042061,126670,119254,119996,163498,
